                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.7276,                 1.0319,                0.92949,                0.88649,                0.77058,                0.82991,                0.40477,                 1.7466,                0.99104,                0.96429,              0.0008548,              0.0008548,              0.0008548
                     47,                 1.6853,                0.99575,                0.90285,                0.91295,                0.70819,                0.80978,                0.34284,                  1.902,                  1.004,                0.97297,              0.0008515,              0.0008515,              0.0008515
                     48,                 1.7057,                 1.0174,                0.90674,                0.92473,                0.69979,                0.79923,                0.38594,                 1.7946,                 1.0446,                0.95795,              0.0008482,              0.0008482,              0.0008482
                     49,                  1.698,                 1.0136,                0.90928,                0.89508,                0.70572,                0.77587,                0.33432,                 1.9045,                 1.0555,                0.97627,              0.0008449,              0.0008449,              0.0008449
                     50,                 1.6887,                  1.009,                0.90587,                0.92196,                0.79665,                 0.8563,                0.41571,                 1.7811,                0.95642,                0.96649,              0.0008416,              0.0008416,              0.0008416
                     51,                 1.6865,                0.99179,                0.90973,                0.91203,                0.79653,                0.85861,                0.40775,                 1.6995,                0.94528,                0.95138,              0.0008383,              0.0008383,              0.0008383
                     52,                 1.6621,                0.96574,                0.90725,                0.92284,                0.72691,                0.84231,                0.39351,                 1.7138,                 0.9978,                0.94146,               0.000835,               0.000835,               0.000835
                     53,                 1.7039,                0.97817,                0.90704,                 0.8488,                0.79171,                0.84781,                 0.4364,                 1.6523,                0.93326,                0.92389,              0.0008317,              0.0008317,              0.0008317
                     54,                 1.6454,                0.94573,                0.90475,                0.93233,                0.79339,                 0.8622,                0.43961,                 1.6674,                0.88899,                0.93618,              0.0008284,              0.0008284,              0.0008284
                     55,                 1.6873,                0.98076,                0.90582,                0.95068,                0.78597,                0.86521,                0.42631,                 1.6511,                0.90725,                0.92717,              0.0008251,              0.0008251,              0.0008251
                     56,                 1.6381,                0.94844,                0.90598,                 0.9016,                0.77033,                0.85772,                0.42239,                  1.675,                0.88972,                0.93157,              0.0008218,              0.0008218,              0.0008218
                     57,                 1.6568,                0.97289,                0.89829,                  0.888,                0.74705,                0.82206,                0.38051,                 1.7733,                0.91636,                0.94582,              0.0008185,              0.0008185,              0.0008185
                     58,                 1.6042,                0.91321,                0.89954,                0.89543,                0.79018,                0.83262,                0.41618,                 1.6259,                0.91718,                0.92576,              0.0008152,              0.0008152,              0.0008152
                     59,                   1.62,                0.90878,                 0.9008,                0.80464,                0.78277,                0.79835,                0.34549,                 1.7968,                0.95438,                0.95399,              0.0008119,              0.0008119,              0.0008119
                     60,                 1.6965,                0.96635,                0.91198,                0.89017,                 0.7304,                0.81888,                0.36706,                 1.7956,                0.96527,                0.95136,              0.0008086,              0.0008086,              0.0008086
                     61,                 1.6516,                0.91799,                0.91198,                0.90578,                 0.7532,                0.85255,                0.40754,                 1.6898,                0.88223,                0.93302,              0.0008053,              0.0008053,              0.0008053
                     62,                 1.6394,                0.93634,                0.89535,                0.89958,                0.75991,                0.82054,                0.35796,                 1.8022,                0.94204,                0.94455,               0.000802,               0.000802,               0.000802
                     63,                 1.6348,                0.92094,                0.90413,                0.87812,                0.83724,                0.86666,                0.40174,                  1.763,                0.89339,                0.94637,              0.0007987,              0.0007987,              0.0007987
                     64,                 1.6343,                0.92136,                0.89426,                0.91002,                0.77648,                0.84326,                0.38888,                 1.7675,                0.94297,                0.94884,              0.0007954,              0.0007954,              0.0007954
